Found 747 mutants to test
ok       Unmutated baseline in 15s build + 1s test
TIMEOUT  src/texel/optimizer.rs:193:5: replace tmp_path -> std::path::PathBuf with Default::default() in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:247:5: replace project_sign with () in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:249:18: replace match guard *wi < 0.0 with true in project_sign in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:249:18: replace match guard *wi < 0.0 with false in project_sign in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:250:19: replace match guard *wi > 0.0 with true in project_sign in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:250:19: replace match guard *wi > 0.0 with false in project_sign in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:249:22: replace < with == in project_sign in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:249:22: replace < with > in project_sign in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:249:22: replace < with <= in project_sign in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:250:23: replace > with == in project_sign in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:250:23: replace > with < in project_sign in 69s build + 20s test
TIMEOUT  src/texel/optimizer.rs:250:23: replace > with >= in project_sign in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:324:22: replace < with == in tune in 61s build + 20s test
TIMEOUT  src/texel/optimizer.rs:324:22: replace < with > in tune in 70s build + 20s test
TIMEOUT  src/texel/optimizer.rs:324:22: replace < with <= in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:331:20: replace += with -= in tune in 69s build + 20s test
TIMEOUT  src/texel/optimizer.rs:331:20: replace += with *= in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:333:23: replace - with + in tune in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:333:23: replace - with / in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:334:23: replace - with + in tune in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:334:23: replace - with / in tune in 69s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:45: replace + with - in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:45: replace + with * in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:32: replace * with + in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:32: replace * with / in tune in 76s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:61: replace * with + in tune in 70s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:61: replace * with / in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:52: replace - with + in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:336:52: replace - with / in tune in 70s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:45: replace + with - in tune in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:45: replace + with * in tune in 70s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:32: replace * with + in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:32: replace * with / in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:65: replace * with + in tune in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:65: replace * with / in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:61: replace * with + in tune in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:61: replace * with / in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:52: replace - with + in tune in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:337:52: replace - with / in tune in 71s build + 20s test
TIMEOUT  src/texel/optimizer.rs:338:36: replace / with % in tune in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:338:36: replace / with * in tune in 72s build + 20s test
TIMEOUT  src/texel/optimizer.rs:339:36: replace / with % in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:339:36: replace / with * in tune in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:24: replace -= with += in tune in 73s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:24: replace -= with /= in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:42: replace / with % in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:42: replace / with * in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:34: replace * with + in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:34: replace * with / in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:58: replace + with - in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:340:58: replace + with * in tune in 76s build + 20s test
TIMEOUT  src/texel/optimizer.rs:347:56: replace || with && in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:347:51: replace == with != in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:347:34: replace % with / in tune in 74s build + 20s test
TIMEOUT  src/texel/optimizer.rs:347:34: replace % with + in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:347:70: replace == with != in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:352:28: replace < with == in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:352:28: replace < with > in tune in 78s build + 20s test
TIMEOUT  src/texel/optimizer.rs:352:28: replace < with <= in tune in 76s build + 20s test
TIMEOUT  src/texel/optimizer.rs:352:20: replace + with - in tune in 75s build + 20s test
TIMEOUT  src/texel/optimizer.rs:352:20: replace + with * in tune in 76s build + 20s test
TIMEOUT  src/texel/optimizer.rs:357:32: replace += with -= in tune in 80s build + 20s test
TIMEOUT  src/texel/optimizer.rs:357:32: replace += with *= in tune in 76s build + 20s test
TIMEOUT  src/texel/optimizer.rs:374:34: replace == with != in tune in 79s build + 20s test
TIMEOUT  src/texel/optimizer.rs:375:30: replace += with -= in tune in 76s build + 20s test
TIMEOUT  src/texel/optimizer.rs:375:30: replace += with *= in tune in 76s build + 20s test
